id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.07619158029556275,0.19252375960350038,0.37753688693046566,0.5504090309143066,0.5768609046936035,0.5856637954711914,0.5887406706809998,0.5911670088768005,0.6101436734199525
0.csv_Day7_0h30m,0.0,0.47419627904891976,0.9685894846916199,1.236745023727417,1.239793062210083,1.2397937297821044,1.245485258102417,1.2695996284484863,1.310403084754944
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.00670746266841888,0.07973336279392249,0.27667956352233897
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06897273659706121
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.1327134057879448,0.23564189076423647,0.300718080997467,0.3294724404811859,0.3384109437465668,0.3391632497310639,0.3401780009269714,0.34503265619277956,0.3578175663948059
0.csv_Day7_3h30m,0.2954777538776398,0.3031622529029846,0.30381791591644286,0.3091039299964905,0.32638388872146606,0.3309186100959778,0.3342383980751038,0.3671868681907654,0.4219090402126312
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010591384023427972
0.csv_Day7_4h30m,0.08134276866912843,0.1942909896373749,0.2708844006061554,0.30295964479446413,0.3421502709388733,0.35515681505203245,0.35933104157447815,0.36143732666969297,0.36903296709060673
0.csv_Day7_5h00m,0.0,0.005641449987888337,0.05414763242006301,0.12487848401069641,0.13933059573173523,0.1562442123889923,0.1659782350063324,0.17296990752220154,0.17906249761581422
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07178552150726325
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03966358304023746
0.csv_Day7_6h30m,0.49123754501342776,1.312541937828064,1.9957027673721313,2.322113847732544,2.3227732181549072,2.324013185501099,2.3383267402648924,2.3676645278930666,2.4255492210388185
0.csv_Day7_7h00m,1.3548282384872437,1.4277131795883178,1.6211171388626098,1.8620611906051636,1.9057987928390503,1.910302424430847,1.9144847631454467,1.9175954580307009,1.934877634048462
0.csv_Day7_7h30m,3.1539464950561524,3.952974033355713,4.591708564758301,4.836264896392822,4.853012561798096,4.853316593170166,4.861016082763672,4.868272590637207,4.953414821624756
0.csv_Day7_8h00m,8.821223831176757,10.59367332458496,12.018219375610352,12.498891639709473,12.520062446594238,12.528677558898925,12.53126220703125,12.542570877075196,12.62720775604248
0.csv_Day7_8h30m,13.701979064941407,15.511022949218749,16.507372283935545,16.52937240600586,16.53244400024414,16.532852935791016,16.534860610961914,16.546022415161133,16.5617618560791
0.csv_Day7_9h00m,19.622329711914062,22.740399169921872,24.418399810791016,24.52166213989258,24.602306365966797,24.628614044189455,24.642776107788087,24.6532039642334,24.662995910644533
0.csv_Day7_9h30m,24.577862167358397,27.854236221313478,29.65403099060059,30.011722183227537,30.271142959594727,30.271957778930663,30.278412246704104,30.293899154663087,30.31162872314453
0.csv_Day7_10h00m,30.223650741577146,32.70668716430664,33.83503723144531,34.26146011352539,34.669071197509766,34.79975967407226,34.832532501220705,34.84134750366211,34.85611267089844
0.csv_Day7_10h30m,32.993981170654294,35.96023025512695,37.91173324584961,38.9282943725586,39.17041778564453,39.20648345947266,39.226165771484375,39.23942260742187,39.25037307739258
0.csv_Day7_11h00m,36.34426307678223,38.80499267578125,39.90687103271485,40.54914474487305,41.28359603881836,41.37390060424805,41.453182220458984,41.506262969970706,41.531680297851565
0.csv_Day7_11h30m,37.319689178466795,40.30854187011719,41.48216705322265,41.67791748046875,42.0855712890625,42.137200927734376,42.21086502075195,42.25393447875977,42.2620735168457
0.csv_Day7_12h00m,37.67458038330078,39.38066787719727,39.63385238647461,39.91760177612305,40.1225700378418,40.15357284545898,40.16312255859375,40.17191162109375,40.29194793701172
0.csv_Day7_12h30m,36.82873687744141,38.62483139038086,38.749010467529295,38.84713592529297,38.92333221435547,38.966880798339844,38.985833740234376,38.996826171875,39.09913635253906
0.csv_Day7_13h00m,33.97085304260254,35.53129653930664,35.71229934692383,35.927887725830075,35.97212600708008,36.05109329223633,36.07588424682617,36.085663604736325,36.09958114624023
0.csv_Day7_13h30m,31.15380973815918,32.766883087158206,32.88871536254883,32.919708251953125,32.98558044433594,33.01244201660156,33.02108917236328,33.041064453125,33.08275833129883
0.csv_Day7_14h00m,28.233768844604494,29.63657569885254,29.77160987854004,29.978536224365236,30.386577606201172,30.402632904052734,30.433415603637695,30.461085128784177,30.47697105407715
0.csv_Day7_14h30m,23.292609024047852,24.230290985107423,24.367383575439455,24.584577560424805,25.122312545776367,25.19163932800293,25.259964752197266,25.305269622802733,25.32293701171875
0.csv_Day7_15h00m,18.56849784851074,20.246914672851563,20.84437026977539,20.87476501464844,20.904342651367188,20.91219787597656,20.919590759277344,20.925862884521486,20.939527893066405
0.csv_Day7_15h30m,12.971054267883302,13.101769638061523,13.753306198120118,14.721274948120117,14.99266242980957,15.024235153198243,15.070075798034667,15.10575008392334,15.121906661987305
0.csv_Day7_16h00m,7.413004302978516,7.470966339111328,7.474832153320312,7.478934001922608,7.479224681854248,7.6399767875671385,7.698939418792724,7.753254222869874,7.820731449127197
0.csv_Day7_16h30m,1.0372522592544555,1.0534395933151246,1.0585631608963013,1.0873042583465578,1.1932203769683838,1.388582181930542,1.6042641162872315,1.9422842979431154,2.6193660259246827
0.csv_Day7_17h00m,0.0,0.3268553495407105,0.5584134340286255,0.5808460116386414,0.5886492133140564,0.5918654799461365,0.6744301080703735,0.7708990097045899,0.93100905418396
0.csv_Day7_17h30m,0.0,0.0,0.1676751375198364,0.4197697937488556,0.4220975935459137,0.42677925229072566,0.42848573327064515,0.45013101696968083,0.48629037141799925
0.csv_Day7_18h00m,0.7090211927890778,1.0192877054214478,1.2558969259262085,1.4470937728881836,1.4528274536132812,1.4537271499633788,1.4754568815231321,1.4940160512924194,1.5137365818023683
0.csv_Day7_18h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018216334283351914
0.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018430978059768694
0.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.04173954427242277,0.1231349796056748,0.2560735285282135
0.csv_Day7_20h00m,0.26022431850433353,0.32632413506507874,0.3271582543849945,0.3297832548618317,0.33945348858833313,0.3631618320941925,0.4467636704444885,0.5427035093307495,0.6305043697357178
0.csv_Day7_20h30m,0.1913097858428955,0.22566505074501036,0.22969408035278321,0.2374122589826584,0.24859820306301117,0.2849675387144089,0.3037689685821533,0.332137417793274,0.40461741685867314
0.csv_Day7_21h00m,0.0,0.0,0.11639924049377438,0.3099341750144958,0.3856784701347351,0.39023193120956423,0.393792062997818,0.3967913329601288,0.3991064786911011
0.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04681173563003544
0.csv_Day7_22h30m,0.32967385500669477,0.41326405405998234,0.4585482895374298,0.5208549857139588,0.5452811121940613,0.5734982848167419,0.5805678844451905,0.5831329345703125,0.6064109206199646
0.csv_Day7_23h00m,0.0,0.8576595783233644,1.4303252220153808,1.4317495346069335,1.432091236114502,1.4358036041259765,1.4770133256912232,1.5212160348892212,1.548778486251831
0.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022603137791156788
0.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09950828552246102
0.csv_Day8_1h00m,0.0,0.0,0.024660605192184444,0.11970406770706182,0.35191428661346436,0.35505290031433107,0.3731941819190979,0.38499011993408205,0.3864066660404205
0.csv_Day8_1h30m,0.0,0.11491751968860628,0.21226613223552704,0.2435527741909027,0.2442777454853058,0.2445712387561798,0.24515399932861326,0.24699214100837708,0.2880506932735444
0.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006809228658676153,0.08717167377471931
0.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009898022562265405,0.048605103790760065
0.csv_Day8_3h00m,0.0,0.0,0.0,5.999207496643072e-05,0.0002999603748321533,0.0021901965141296383,0.004584299027919768,0.08469571620225913,0.2266353845596314
